0.151543	2.55701	0.0539555	0.910403	0.151543	2.55701	-0.0047	2.8999	-0.0471	0.9989
-0.128358	3.43853	-0.695342	2.19622	-0.1284	3.4386	-0.0517	3.2969	-0.1719	0.9851
-0.11199	3.71846	0.0134496	1.05873	-0.133121	3.49196	-0.1481	3.6848	-0.294	0.9558
-0.412004	4.20475	-0.840897	1.22245	-0.4463	4.2181	-0.2923	4.0577	-0.4115	0.9114
-0.768043	4.60265	-0.940741	1.27369	-0.737961	4.41809	-0.4821	4.4094	-0.5225	0.8526
-0.761039	4.71265	0.127485	0.132218	-0.7134	4.632	-0.7145	4.7347	-0.6252	0.7804
-0.698017	4.89506	0.141902	0.597523	-0.692611	4.88292	-0.9859	5.0282	-0.7181	0.6959
-1.39243	5.07604	-1.8937	0.444406	-1.4712	5.0741	-1.2919	5.2854	-0.7997	0.6004
-1.5252	5.4374	-0.172532	0.808831	-1.45177	5.46164	-1.6277	5.5023	-0.8686	0.4955
-1.82119	5.68461	-0.757901	0.626581	-1.8434	5.6803	-1.988	5.6753	-0.9239	0.3827
-2.29716	5.8667	-1.10162	0.108313	-2.39172	6.01945	-2.3672	5.8018	-0.9646	0.2639
-2.8163	6.03437	-1.31609	0.464663	-2.8283	6.0591	-2.7593	5.8798	-0.99	0.1409
-3.31321	6.2817	-1.12259	0.418615	-3.37034	6.40791	-3.158	5.908	-0.9999	0.0157
-3.80566	5.93925	-1.10558	-0.946104	-3.785	5.8591	-3.5572	5.8861	-0.994	-0.1097
-3.92153	5.81302	-0.355932	-0.102427	-3.7863	5.76022	-3.9504	5.8143	-0.9724	-0.2334
-4.26187	5.73851	-0.856725	-0.143472	-4.2845	5.7448	-4.3315	5.6937	-0.9354	-0.3535
-5.05923	5.40007	-1.91492	-1.10053	-5.24413	5.41679	-4.6946	5.5264	-0.8838	-0.4679
-4.84474	5.34497	0.465834	-0.35498	-4.7468	5.3429	-5.0337	5.3148	-0.8182	-0.575
-5.40681	4.90859	-1.56755	-1.12328	-5.56728	4.80456	-5.3437	5.0625	-0.7396	-0.673
-5.40048	4.71428	-0.0105271	-0.613264	-5.3346	4.7143	-5.6197	4.7732	-0.6495	-0.7604
